time,lat,lon,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-11-21T00:52:14.363Z,38.3662,-115.8242,10.4,3,ml,29,60.54,0.725,0.2573,nn,nn00851695,2022-11-21T23:56:04.888Z,"80 km N of Rachel, Nevada",earthquake,,1.8,0.29,15,reviewed,nn,nn
2022-11-21T00:05:43.378Z,31.72073247,-104.5270042,5.977319336,3.2,ml,47,82,0.002540981,0.2,tx,tx2022wtze,2022-11-25T10:00:48.878Z,"52 km SSW of Whites City, New Mexico",earthquake,1.34593216,0.728616255,0.2,36,reviewed,tx,tx
2022-11-20T14:35:35.923Z,31.67402863,-104.2907317,7.828295898,2.5,ml,31,48,0.022155299,0.2,tx,tx2022wtgj,2022-11-23T14:07:05.040Z,"56 km S of Whites City, New Mexico",earthquake,0.730070018,0.75345197,0.2,17,reviewed,tx,tx
2022-11-20T07:13:29.469Z,31.67866353,-104.4980343,6.080151367,2.8,ml,25,67,0.010347066,0.2,tx,tx2022wsru,2022-11-24T10:36:47.623Z,"56 km SSW of Whites City, New Mexico",earthquake,1.023957262,0.551926548,0.2,32,reviewed,tx,tx
2022-11-20T05:23:49.753Z,31.61467777,-104.0008352,9.319360352,2.5,ml,39,67,0.015321467,0.1,tx,tx2022wsoc,2022-11-23T20:24:45.933Z,"38 km NNW of Toyah, Texas",earthquake,0.478016262,0.382363127,0.2,55,reviewed,tx,tx
2022-11-20T02:10:25.319Z,31.52457686,-104.00686,6.645727539,2.6,ml,26,57,0.041596631,0.1,tx,tx2022wshu,2022-11-22T18:14:03.587Z,"30 km NW of Toyah, Texas",earthquake,0.806349169,0.575094533,0.1,13,reviewed,tx,tx
2022-11-19T21:49:22.100Z,35.5711667,-120.8061667,3.46,2.81,md,61,50,0.07011,0.09,nc,nc73809431,2022-11-20T16:17:32.184Z,"9km WNW of Templeton, CA",earthquake,0.16,0.5,0.15,86,reviewed,nc,nc
2022-11-19T10:03:52.335Z,31.63489585,-104.0020069,7.468383789,4,ml,64,29,0.02022829,0.1,tx,tx2022wrbx,2022-11-21T23:09:16.476Z,"38 km WSW of Mentone, Texas",earthquake,0.374044591,0.491425671,0.2,32,reviewed,tx,tx
2022-11-19T04:15:41.720Z,34.1968333,-116.9511667,9.08,2.62,ml,104,23,0.07,0.15,ci,ci40377816,2022-11-20T17:52:35.369Z,"6km SW of Big Bear Lake, CA",earthquake,0.09,0.23,0.143,148,reviewed,ci,ci
2022-11-18T23:32:23.924Z,31.62950719,-103.9986185,6.041589355,2.6,ml,36,40,0.019002726,0.2,tx,tx2022wqhb,2022-11-22T19:59:07.644Z,western Texas,earthquake,0.314854547,0.374223431,0.1,17,reviewed,tx,tx
2022-11-18T20:59:21.287Z,31.65396867,-104.5125867,8.008251953,2.7,ml,30,75,0.017785463,0.5,tx,tx2022wqbz,2022-11-19T16:35:21.040Z,"59 km SSW of Whites City, New Mexico",earthquake,1.864913965,1.09797552,0.1,17,reviewed,tx,tx
2022-11-18T20:21:46.584Z,31.55345937,-104.0868348,6.568603516,2.5,ml,40,63,0.032914186,0.2,tx,tx2022wqau,2022-11-19T16:10:47.040Z,"38 km NW of Toyah, Texas",earthquake,0.666250405,0.695535463,0.1,24,reviewed,tx,tx
2022-11-18T19:23:22.139Z,31.62847084,-103.9992862,8.599536133,2.9,ml,21,52,0.017992329,0.1,tx,tx2022wpyw,2022-11-18T20:14:33.040Z,"38 km WSW of Mentone, Texas",earthquake,1.289306476,0.702256671,0.2,10,reviewed,tx,tx
2022-11-18T18:58:39.370Z,31.63956788,-104.013195,6.041589355,2.7,ml,25,40,0.020180415,0.1,tx,tx2022wpxz,2022-11-18T20:37:04.576Z,western Texas,earthquake,0.372574494,0.381007042,0.2,18,reviewed,tx,tx
2022-11-18T09:04:56.057Z,31.63248808,-104.0005158,6.093005371,2.7,ml,36,50,0.019438588,0.2,tx,tx2022wpem,2022-11-18T16:47:42.199Z,"38 km WSW of Mentone, Texas",earthquake,0.428726014,0.348417671,0.1,20,reviewed,tx,tx
